market_hash_name,currency,min_price,max_price,mean_price,median_price,quantity_sold,source,scraped_at
FAMAS | Halftone Wash (Factory New),USD,1.55,1.55,1.55,1.55,470,steam_market,2026-04-27T09:43:38.617559+00:00
FAMAS | Sergeant (Field-Tested),USD,4.5,4.5,4.5,4.5,192,steam_market,2026-04-27T09:43:38.617562+00:00
AK-47 | VariCamo Grey (Field-Tested),USD,0.12,0.12,0.12,0.12,9699,steam_market,2026-04-27T09:43:38.617567+00:00
AUG | Steel Sentinel (Minimal Wear),USD,0.53,0.53,0.53,0.53,424,steam_market,2026-04-27T09:43:38.617570+00:00
Galil AR | O-Ranger (Minimal Wear),USD,0.13,0.13,0.13,0.13,1115,steam_market,2026-04-27T09:43:38.617572+00:00
FAMAS | Byproduct (Minimal Wear),USD,0.03,0.03,0.03,0.03,5697,steam_market,2026-04-27T09:43:40.878708+00:00
M4A4 | Choppa (Field-Tested),USD,0.14,0.14,0.14,0.14,3659,steam_market,2026-04-27T09:43:40.878730+00:00
StatTrak™ AK-47 | Uncharted (Field-Tested),USD,4.07,4.07,4.07,4.07,807,steam_market,2026-04-27T09:43:40.878734+00:00
FAMAS | Yeti Camo (Minimal Wear),USD,1.86,1.86,1.86,1.86,457,steam_market,2026-04-27T09:43:40.878736+00:00
SG 553 | Night Camo (Factory New),USD,0.17,0.17,0.17,0.17,473,steam_market,2026-04-27T09:43:40.878739+00:00
FAMAS | Crypsis (Minimal Wear),USD,0.59,0.59,0.59,0.59,114,steam_market,2026-04-27T09:43:40.878741+00:00
Galil AR | Rocket Pop (Minimal Wear),USD,3.84,3.84,3.84,3.84,199,steam_market,2026-04-27T09:43:40.878744+00:00
AUG | Steel Sentinel (Well-Worn),USD,0.12,0.12,0.12,0.12,800,steam_market,2026-04-27T09:43:40.878746+00:00
Galil AR | Sky Mandala (Factory New),USD,3.95,3.95,3.95,3.95,243,steam_market,2026-04-27T09:43:40.878749+00:00
AK-47 | Wintergreen (Battle-Scarred),USD,0.97,0.97,0.97,0.97,870,steam_market,2026-04-27T09:43:40.878751+00:00
Galil AR | Destroyer (Factory New),USD,1.64,1.64,1.64,1.64,478,steam_market,2026-04-27T09:43:43.698381+00:00
FAMAS | Meow 36 (Minimal Wear),USD,0.29,0.29,0.29,0.29,587,steam_market,2026-04-27T09:43:43.698403+00:00
Galil AR | Metallic Squeezer (Minimal Wear),USD,0.78,0.78,0.78,0.78,1069,steam_market,2026-04-27T09:43:43.698406+00:00
AUG | Condemned (Well-Worn),USD,0.07,0.07,0.07,0.07,1059,steam_market,2026-04-27T09:43:43.698408+00:00
M4A4 | Magnesium (Well-Worn),USD,0.32,0.32,0.32,0.32,1176,steam_market,2026-04-27T09:43:43.698410+00:00
FAMAS | Meow 36 (Factory New),USD,3.4,3.4,3.4,3.4,157,steam_market,2026-04-27T09:43:43.698412+00:00
M4A1-S | Electrum (Battle-Scarred),USD,2.44,2.44,2.44,2.44,252,steam_market,2026-04-27T09:43:43.698415+00:00
Galil AR | Grey Smoke (Factory New),USD,0.09,0.09,0.09,0.09,1158,steam_market,2026-04-27T09:43:43.698418+00:00
AK-47 | Steel Delta (Field-Tested),USD,3.16,3.16,3.16,3.16,312,steam_market,2026-04-27T09:43:43.698420+00:00
M4A4 | Converter (Field-Tested),USD,1.22,1.22,1.22,1.22,304,steam_market,2026-04-27T09:43:43.698422+00:00
M4A4 | Etch Lord (Well-Worn),USD,0.65,0.65,0.65,0.65,1336,steam_market,2026-04-27T09:43:46.671510+00:00
FAMAS | Vendetta (Factory New),USD,0.31,0.31,0.31,0.31,501,steam_market,2026-04-27T09:43:46.671538+00:00
StatTrak™ Galil AR | Galigator (Field-Tested),USD,3.14,3.14,3.14,3.14,78,steam_market,2026-04-27T09:43:46.671542+00:00
M4A4 | Etch Lord (Battle-Scarred),USD,0.65,0.65,0.65,0.65,1100,steam_market,2026-04-27T09:43:46.671545+00:00
FAMAS | Half Sleeve (Factory New),USD,3.03,3.03,3.03,3.03,418,steam_market,2026-04-27T09:43:46.671547+00:00
FAMAS | Grey Ghost (Factory New),USD,0.36,0.36,0.36,0.36,652,steam_market,2026-04-27T09:43:46.671550+00:00
Galil AR | Destroyer (Minimal Wear),USD,0.26,0.26,0.26,0.26,1316,steam_market,2026-04-27T09:43:46.671553+00:00
SG 553 | Cyberforce (Minimal Wear),USD,0.29,0.29,0.29,0.29,893,steam_market,2026-04-27T09:43:46.671556+00:00
M4A4 | Mainframe (Factory New),USD,0.62,0.62,0.62,0.62,596,steam_market,2026-04-27T09:43:46.671559+00:00
AUG | Trigger Discipline (Battle-Scarred),USD,0.13,0.13,0.13,0.13,623,steam_market,2026-04-27T09:43:46.671562+00:00
M4A4 | Steel Work (Factory New),USD,0.66,0.66,0.66,0.66,641,steam_market,2026-04-27T09:43:49.012774+00:00
